Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	part_rate[1]	part_rate[2]	part_rate_mult[1]	part_rate_mult[2]	pinvar[1]	pinvar[2]	TL
0	-9306.642	-9283.813	-22.829	7.76149e+07	1.40818e+06	0.215664	0.0338983	0.0999327	0.20032	0.0158642	0.203228	0.048621	0.240444	0.0556594	0.0488092	0.04345	0.054316	0.189435	0.00380514	0.0522051	0.0510942	0.123654	0.164423	0.00353473	0.0937264	0.121705	0.364369	0.167936	0.138082	0.0168081	0.257976	0.483368	0.0133561	0.0172267	0.0442094	0.195444	0.0122718	0.0983542	0.197891	0.0112534	0.90193	1.19614	0.601286	0.398714	0.055739	0.25698	4.082334
10	-5670.492	-5659.571	-10.92104	6.28765e+07	1.12852e+06	0.195205	0.017755	0.0191423	0.105954	0.0134596	0.0274519	0.0481111	0.0573751	0.0582544	0.0947751	0.0601474	0.0232435	0.182845	0.0106568	0.126483	0.0715742	0.0780565	0.159367	0.0115544	0.0175361	0.0779819	0.111837	0.0761495	0.0546013	0.0108241	0.0777325	0.212315	0.00191062	0.00889498	0.00966192	0.0950129	0.0437044	0.093798	0.0396748	0.0267491	0.223957	2.55209	0.149305	0.850695	0.525149	0.108764	2.319794
20	-4724.743	-4721.355	-3.388345	4.67862e+07	2.08375e+06	0.19453	0.00647514	0.0078117	0.0338697	0.00679953	0.013076	0.01748	0.0204669	0.0303975	0.0301436	0.020796	0.00534857	0.12491	0.0496364	0.140601	0.0673112	0.0888017	0.158591	0.012355	0.0595024	0.0390542	0.0515848	0.0168537	0.0204195	0.0053528	0.0415067	0.0553707	0.00136988	0.00666636	0.0160244	0.157501	0.0216401	0.0452422	0.0755005	0.03937	0.262694	2.47461	0.175129	0.824871	0.75978	0.107193	1.68236
30	-4409.684	-4407.51	-2.173992	6.47571e+07	9.56645e+06	0.244439	0.00449455	0.00504158	0.0207858	0.00303936	0.00753961	0.0178446	0.0239292	0.0392644	0.0150241	0.00488762	0.00762769	0.135636	0.0627989	0.0178116	0.0322196	0.0513378	0.0881241	0.0273347	0.0399241	0.0347198	0.0566076	0.0148467	0.0230397	0.0046307	0.0492272	0.0665032	0.00186946	0.00414865	0.0238741	0.0928548	0.0594524	0.0494458	0.0685902	0.0425748	0.222874	2.55425	0.148583	0.851417	0.837859	0.0706742	1.441489
40	-4355.009	-4352.155	-2.853985	3.43815e+07	1.37357e+07	0.339932	0.00296616	0.00682421	0.00511543	0.00318827	0.0121993	0.0120578	0.0315571	0.0437631	0.00454203	0.00590175	0.0170428	0.0898153	0.0684359	0.0229173	0.0779552	0.094893	0.0909953	0.0602701	0.0153876	0.0153132	0.0274778	0.0195088	0.016556	0.00645171	0.0416152	0.0424999	0.00369848	0.00858391	0.0166474	0.0570541	0.105359	0.0294754	0.0394711	0.0740167	0.222874	2.55425	0.148583	0.851417	0.851205	0.0777994	1.509488
50	-4314.883	-4313.603	-1.280145	6.6552e+07	3.5477e+07	0.332825	0.00104912	0.0039551	0.00262962	0.00181835	0.00583132	0.0160763	0.0323465	0.0387829	0.00406447	0.00620553	0.0201914	0.0952798	0.0662714	0.0134552	0.0533956	0.100657	0.0747227	0.0454193	0.0277608	0.0119461	0.0458648	0.0226724	0.0274482	0.013371	0.019361	0.0282143	0.0014849	0.00247565	0.0172759	0.0493206	0.055888	0.0144843	0.0282205	0.0530197	0.217461	2.56508	0.144974	0.855026	0.835118	0.0197273	1.333785
60	-4135.859	-4134.626	-1.232893	8.33186e+07	6.27668e+07	0.361852	0.00189319	0.00312407	0.000514909	0.00514819	0.00331788	0.0118884	0.0243712	0.0456582	0.00982111	0.0126402	0.0116554	0.0233315	0.123426	0.0096386	0.0769874	0.0322132	0.0932951	0.108194	0.0416636	0.0118131	0.0357379	0.0262566	0.00861724	0.0294575	0.0221798	0.0282437	0.00126071	0.00179466	0.0200736	0.0515341	0.0619867	0.00800681	0.0131437	0.0347498	0.225324	2.54935	0.150216	0.849784	0.765902	0.0198942	1.35549
70	-4127.024	-4126.956	-0.06811405	6.81153e+07	3.24182e+07	0.327064	0.00111728	0.00609457	0.00183034	0.00284134	0.0049057	0.0100302	0.0231675	0.0291074	0.0053923	0.0104206	0.00333558	0.0204158	0.0878018	0.0240202	0.0740765	0.0288793	0.0550524	0.109533	0.0271051	0.00343959	0.0512629	0.0211926	0.0146479	0.0103932	0.0251512	0.0241837	0.00152981	0.00203888	0.0140681	0.0360962	0.0849144	0.00555332	0.0185771	0.0285131	0.212067	2.57587	0.141378	0.858622	0.778229	0.0390367	1.193753
80	-4131.644	-4131.121	-0.5230924	6.36808e+07	3.43821e+07	0.400178	0.00279225	0.00332377	0.0030773	0.00480503	0.00262194	0.0151498	0.0254409	0.0347485	0.0105692	0.00924886	0.00309155	0.00816307	0.0760443	0.00786355	0.0601789	0.0389154	0.0742968	0.0827833	0.0467556	0.00755235	0.0153693	0.0132186	0.0295713	0.0246844	0.038877	0.0227746	0.00426656	0.00428097	0.0197586	0.0336026	0.0986992	0.0136084	0.0165675	0.0211182	0.222155	2.55569	0.148103	0.851897	0.780701	0.00468233	1.273998
90	-4137.318	-4135.725	-1.592891	5.9726e+07	2.38224e+06	0.477149	0.0023824	0.00662871	0.00145828	0.00397876	0.00312434	0.0312929	0.043604	0.0467663	0.00526794	0.00156348	0.00449137	0.0118307	0.0912248	0.0115903	0.0554725	0.0450292	0.0641934	0.0880294	0.0382412	0.00319093	0.0104081	0.0332696	0.0210527	0.0246844	0.0517966	0.0153387	0.00432625	0.00312375	0.0173709	0.03875	0.0726714	0.0221011	0.00889121	0.0206834	0.222155	2.55569	0.148103	0.851897	0.795481	0.00301347	1.380978
