Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
0	-4482.625	-4499.415	16.78973	2.279926e+07	0.348099	0.00826549	0.00354417	0.000307192	0.000583495	0.00337669	0.0177688	0.037466	0.0403527	0.00621897	0.00193936	0.0023971	0.0268794	0.0859954	0.0479768	0.0595296	0.0405515	0.0504792	0.0701312	0.0167894	0.0252588	0.0266104	0.0132623	0.0277742	0.0103918	0.00161636	0.0178631	0.0411189	0.0276516	0.00189972	0.00452969	0.0637106	0.00180531	0.0254836	0.0587296	0.025333	0.57136	0.0321881	0.0107698	0.318661	0.0416881	0.999734	0.999932	1.00007	1.00027	0.292507	0.390797	0.106151	0.210545	0.6227753	1.216357
10	-4483.361	-4500.064	16.70305	3.198427e+07	0.305927	0.00916887	0.00439893	0.000767365	0.0006021	0.005377	0.0140528	0.0324354	0.0357751	0.00213843	0.00753766	0.00347231	0.0198881	0.0892531	0.0289502	0.0552469	0.0405515	0.0452215	0.104564	0.0293647	0.0376742	0.0358861	0.0424947	0.0276511	0.0253977	0.000506218	0.00948606	0.0384499	0.0224078	0.000110158	0.0083936	0.084466	0.00358062	0.0180345	0.0357936	0.027936	0.620842	0.0398993	0.0166296	0.284323	0.0103699	0.999775	0.999942	1.00006	1.00022	0.298971	0.371561	0.111349	0.21812	0.5813809	1.225025
20	-4476.93	-4494.347	17.41689	6.666392e+07	0.348959	0.00166603	0.0104157	0.000336228	0.00304501	0.00467124	0.0187942	0.0276645	0.0254543	0.00421406	0.00562151	0.00491195	0.0138759	0.0793464	0.0117569	0.0423992	0.0724927	0.0442825	0.0671801	0.0268694	0.029331	0.0418809	0.0175894	0.0271828	0.0260158	0.00357695	0.014912	0.0246293	0.031551	0.00462913	0.0128931	0.0632541	0.00030954	0.0192648	0.0226643	0.0231766	0.604311	0.0388369	0.0173988	0.311636	0.00464063	0.999844	0.99996	1.00004	1.00016	0.306782	0.381269	0.102328	0.209621	0.6168576	1.153641
30	-4482.724	-4499.683	16.95899	1.032131e+07	0.372289	0.000359935	0.00492411	0.000409351	0.00147935	0.0043518	0.0119092	0.0196071	0.0316251	0.00464969	0.00368081	0.00780747	0.0177555	0.0655459	0.0261439	0.0612025	0.0286184	0.0594083	0.0906988	0.0104315	0.0481371	0.0658901	0.0190299	0.0237352	0.0222767	0.0141016	0.00958721	0.016737	0.0247239	0.00295161	0.000652874	0.0616243	0.00311655	0.0236977	0.0402723	0.018342	0.565968	0.0308402	0.0134154	0.364991	0.0064438	0.999604	0.999899	1.0001	1.0004	0.300349	0.396778	0.104802	0.19807	0.6258646	1.199432
40	-4484.157	-4499.837	15.67997	3.388133e+07	0.466432	0.000134161	0.00912694	0.0041138	7.54293e-05	0.00701731	0.0192094	0.0348997	0.0331603	0.00362029	0.00219139	0.0101429	0.0259735	0.0871352	0.0129466	0.0673026	0.0385064	0.0490336	0.04349	0.0371739	0.0444524	0.0304878	0.0244073	0.0392402	0.0390911	0.0221262	0.0142904	0.00656201	0.0204569	0.00983969	0.0020411	0.0557069	0.000214402	0.022798	0.043934	0.0179435	0.609271	0.0356638	0.0114273	0.311584	0.0141101	0.999782	0.999944	1.00006	1.00022	0.312738	0.39425	0.0997629	0.193248	0.6259709	1.327334
50	-4489.524	-4506.886	17.36255	3.406087e+07	0.305092	0.00531864	0.0069482	0.00311366	8.31081e-05	0.00724095	0.00823956	0.0260093	0.0529325	0.0105324	0.012275	0.00578575	0.0175637	0.0864423	0.0375009	0.0472327	0.053524	0.0751078	0.0719826	0.00803839	0.0093572	0.0247463	0.0242728	0.0176713	0.0101943	0.0105458	0.00852049	0.0260866	0.0204569	0.00625209	0.0190022	0.0599848	0.00462742	0.0197505	0.0566437	0.0267328	0.594203	0.030662	0.0197696	0.314963	0.0136698	0.999782	0.999944	1.00006	1.00022	0.283039	0.408459	0.0965853	0.211917	0.6306748	1.159076
60	-4491.158	-4507.764	16.60528	9.685633e+07	0.443161	0.000539469	0.00431826	0.00136717	0.00197546	0.00243044	0.010474	0.0220293	0.0326971	0.010011	0.00651095	0.00181304	0.0178194	0.0796964	0.0228331	0.0642758	0.04882	0.0294985	0.0598833	0.00871462	0.0348716	0.0146908	0.0207157	0.0270935	0.00594118	0.00788509	0.00242398	0.0252002	0.0201912	0.00354812	0.0216976	0.101155	0.0107949	0.018146	0.0515795	0.023355	0.570187	0.0356502	0.0264608	0.341835	0.0025127	0.999871	0.999967	1.00003	1.00013	0.294306	0.411609	0.0933383	0.200746	0.6042035	1.234803
70	-4484.492	-4499.703	15.21001	9.319904e+07	0.512548	0.00280637	0.0100939	0.00166772	0.00291493	0.00198016	0.0259633	0.030708	0.0304408	0.00483524	0.00872368	0.00202682	0.025627	0.109792	0.0297434	0.06793	0.0528414	0.0534722	0.0679343	0.0117835	0.0229601	0.0366093	0.0142354	0.0376132	0.0146142	0.0117523	0.0015313	0.020914	0.025831	0.0097693	0.0207999	0.060364	0.00224582	0.0141058	0.027151	0.0169981	0.596742	0.0322666	0.0140632	0.339168	0.000762533	0.999868	0.999967	1.00003	1.00013	0.296467	0.390894	0.107847	0.204792	0.5989985	1.374329
80	-4487.752	-4505.035	17.28366	5.318779e+07	0.345717	0.00062023	0.00666988	0.000179399	0.00107683	0.00209801	0.0202581	0.0205864	0.0465934	0.008636	0.00119178	0.0036864	0.018188	0.0970786	0.00675376	0.0482629	0.0286362	0.0759638	0.0695712	0.028487	0.0105518	0.0218665	0.0228773	0.0376132	0.0492737	0.011538	0.000225066	0.0215304	0.0280551	0.0108744	0.0303995	0.0671517	0.00387557	0.0160538	0.00482361	0.0162059	0.642777	0.0412577	0.0147613	0.275699	0.00929971	0.999826	0.999956	1.00004	1.00017	0.316109	0.397171	0.105274	0.181446	0.6438052	1.166964
90	-4485.015	-4501.196	16.18176	8.516317e+07	0.365708	0.000746226	0.00324867	0.00132037	0.00291823	0.0113333	0.0149653	0.0290944	0.0492754	0.00659094	0.00216258	0.0058302	0.0143925	0.112126	0.0423186	0.0527027	0.0517326	0.0562589	0.0813831	0.00380288	0.0253354	0.0246203	0.024964	0.0304581	0.0322004	0.0104365	0.00273191	0.0336503	0.0182438	0.0149509	0.0177477	0.0978773	0.00222545	0.0176809	0.016121	0.0151729	0.638842	0.0379973	0.00893894	0.27734	0.0217088	0.999862	0.999965	1.00004	1.00014	0.302277	0.392517	0.102561	0.202645	0.6209461	1.277154
